danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.681,0.798,2,-4.367,1,0.0375,0.00398,5.11e-06,0.0542,0.516,105.99,audio_features,59tskctgqUmjCWAwhzYAFm,spotify:track:59tskctgqUmjCWAwhzYAFm,https://api.spotify.com/v1/tracks/59tskctgqUmjCWAwhzYAFm,https://api.spotify.com/v1/audio-analysis/59tskctgqUmjCWAwhzYAFm,181120,4
0.774,0.809,7,-8.247,1,0.0972,0.201,1.27e-06,0.0386,0.685,130.025,audio_features,6Kg7ZnpwfeVj3XFtt1SAaB,spotify:track:6Kg7ZnpwfeVj3XFtt1SAaB,https://api.spotify.com/v1/tracks/6Kg7ZnpwfeVj3XFtt1SAaB,https://api.spotify.com/v1/audio-analysis/6Kg7ZnpwfeVj3XFtt1SAaB,265846,4
0.483,0.494,6,-8.56,1,0.0326,0.715,0.0,0.109,0.414,179.976,audio_features,0aoN9BQostK81IFddJn8Ej,spotify:track:0aoN9BQostK81IFddJn8Ej,https://api.spotify.com/v1/tracks/0aoN9BQostK81IFddJn8Ej,https://api.spotify.com/v1/audio-analysis/0aoN9BQostK81IFddJn8Ej,253333,4
0.666,0.86,0,-5.084,1,0.129,0.393,9.06e-05,0.526,0.538,95.087,audio_features,0fRQGNuIp5cdr9TBShw1bN,spotify:track:0fRQGNuIp5cdr9TBShw1bN,https://api.spotify.com/v1/tracks/0fRQGNuIp5cdr9TBShw1bN,https://api.spotify.com/v1/audio-analysis/0fRQGNuIp5cdr9TBShw1bN,275387,4
0.633,0.727,11,-4.104,0,0.0383,0.173,0.0,0.153,0.543,123.959,audio_features,0oukMLKedsqQ3ltnI2daRO,spotify:track:0oukMLKedsqQ3ltnI2daRO,https://api.spotify.com/v1/tracks/0oukMLKedsqQ3ltnI2daRO,https://api.spotify.com/v1/audio-analysis/0oukMLKedsqQ3ltnI2daRO,200029,4
0.762,0.679,7,-5.193,1,0.0526,0.0417,0.0,0.116,0.403,89.979,audio_features,1RGBclvMIhSbsZsjnUE5rr,spotify:track:1RGBclvMIhSbsZsjnUE5rr,https://api.spotify.com/v1/tracks/1RGBclvMIhSbsZsjnUE5rr,https://api.spotify.com/v1/audio-analysis/1RGBclvMIhSbsZsjnUE5rr,221917,4
0.857,0.893,0,-2.87,0,0.0422,0.0663,0.0,0.0335,0.845,108.022,audio_features,2FZDNh6tm9mkZ9vTphuAh8,spotify:track:2FZDNh6tm9mkZ9vTphuAh8,https://api.spotify.com/v1/tracks/2FZDNh6tm9mkZ9vTphuAh8,https://api.spotify.com/v1/audio-analysis/2FZDNh6tm9mkZ9vTphuAh8,211667,4
0.458,0.815,11,-3.395,1,0.0404,0.707,0.0,0.159,0.352,124.635,audio_features,3beYHVCFKzbdNjJqjKeYpM,spotify:track:3beYHVCFKzbdNjJqjKeYpM,https://api.spotify.com/v1/tracks/3beYHVCFKzbdNjJqjKeYpM,https://api.spotify.com/v1/audio-analysis/3beYHVCFKzbdNjJqjKeYpM,279187,4
0.614,0.694,10,-5.713,0,0.0932,0.254,2.63e-06,0.0733,0.578,163.942,audio_features,6inzGTxyGsXVjpVKtFGrcE,spotify:track:6inzGTxyGsXVjpVKtFGrcE,https://api.spotify.com/v1/tracks/6inzGTxyGsXVjpVKtFGrcE,https://api.spotify.com/v1/audio-analysis/6inzGTxyGsXVjpVKtFGrcE,169756,4
0.586,0.687,6,-5.079,1,0.0258,0.591,0.0,0.178,0.503,81.009,audio_features,7wavprkU2TlcwtdQadwr3G,spotify:track:7wavprkU2TlcwtdQadwr3G,https://api.spotify.com/v1/tracks/7wavprkU2TlcwtdQadwr3G,https://api.spotify.com/v1/audio-analysis/7wavprkU2TlcwtdQadwr3G,298046,4
0.319,0.657,2,-6.124,1,0.0477,0.0242,0.0758,0.157,0.0814,90.009,audio_features,11uvudmvZBzG2ztQsOB5sF,spotify:track:11uvudmvZBzG2ztQsOB5sF,https://api.spotify.com/v1/tracks/11uvudmvZBzG2ztQsOB5sF,https://api.spotify.com/v1/audio-analysis/11uvudmvZBzG2ztQsOB5sF,228340,4
0.492,0.848,8,-6.718,0,0.0594,0.00318,0.000139,0.0665,0.49,180.015,audio_features,2DwNvCKsQLtLILczk3I9bA,spotify:track:2DwNvCKsQLtLILczk3I9bA,https://api.spotify.com/v1/tracks/2DwNvCKsQLtLILczk3I9bA,https://api.spotify.com/v1/audio-analysis/2DwNvCKsQLtLILczk3I9bA,157566,4
0.68,0.65,5,-8.676,0,0.0389,0.504,0.000624,0.108,0.555,149.952,audio_features,2OsAjPo5sDkTgaRMx6fRHg,spotify:track:2OsAjPo5sDkTgaRMx6fRHg,https://api.spotify.com/v1/tracks/2OsAjPo5sDkTgaRMx6fRHg,https://api.spotify.com/v1/audio-analysis/2OsAjPo5sDkTgaRMx6fRHg,340415,4
0.624,0.499,0,-9.962,0,0.0495,0.82,0.0,0.12,0.298,143.249,audio_features,2kx5sQgmjYug0GiDh1a4sU,spotify:track:2kx5sQgmjYug0GiDh1a4sU,https://api.spotify.com/v1/tracks/2kx5sQgmjYug0GiDh1a4sU,https://api.spotify.com/v1/audio-analysis/2kx5sQgmjYug0GiDh1a4sU,122517,4
